'tween decks	'tween deck
1 chronicles	1 chronicle
1 esdras	1 esdra
1 kings	1 king
1 maccabees	1 maccabee
10-membered	10-member
11-plus	11-plu
15 minutes	15 minute
1530s	1530
1750s	1750
1760s	1760
1770s	1770
1780s	1780
1790s	1790
1820s	1820
1830s	1830
1840s	1840
1850s	1850
1860s	1860
1870s	1870
1880s	1880
1890s	1890
1900s	1900
1920s	1920
1930s	1930
1940s	1940
1950s	1950
1960s	1960
1970s	1970
1980s	1980
1990s	1990
2 chronicles	2 chronicle
2 esdras	2 esdra
2 kings	2 king
2 maccabees	2 maccabee
3-membered	3-member
30 minutes	30 minute
365 days	365 day
366 days	366 day
4-membered	4-member
440 yards	440 yard
5-membered	5-member
6-membered	6-member
60 minutes	60 minute
7-membered	7-member
8-membered	8-member
880 yards	880 yard
9-membered	9-member
a capella singing	a capella sing
a cappella singing	a cappella sing
a hundred times	a hundred time
a kempis	a kempi
a million times	a million time
a. testudineus	a. testudineu
aaland islands	aaland island
aarhus	aarhu
abacus	abacu
abandoned	abandon
abashed	abash
abasia trepidans	abasia trepidan
abatis	abati
abattis	abatti
abbreviated	abbreviat
abc's	abc'
abcs	abc
abdias	abdia
abdominal actinomycosis	abdominal actinomycosi
abdominal breathing	abdominal breath
abdominal nerve plexus	abdominal nerve plexu
abdominocentesis	abdominocentesi
abdominous	abdominou
abducens	abducen
abducting	abduct
abecedarius	abecedariu
abelmoschus	abelmoschu
abelmoschus esculentus	abelmoschus esculentu
abelmoschus moschatus	abelmoschus moschatu
aberdeen angus	aberdeen angu
abiding	abid
abies	abie
abies amabilis	abies amabili
abies grandis	abies grandi
abiogenesis	abiogenesi
abkhas	abkha
ablated	ablat
able-bodied	able-bodi
abls	abl
abo antibodies	abo antibodie
abortus	abortu
abounding	abound
above-mentioned	above-mention
above-named	above-nam
abramis	abrami
abranchious	abranchiou
abridged	abridg
abronia fragrans	abronia fragran
abscessed	abscess
absentminded	absentmind
absolute ceiling	absolute ceil
absolved	absolv
absorbed	absorb
absorbing	absorb
abstemious	abstemiou
abstentious	abstentiou
abstracted	abstract
abu hafs al-masri brigades	abu hafs al-masri brigade
abudefduf saxatilis	abudefduf saxatili
abused	abus
abydos	abydo
acacia auriculiformis	acacia auriculiformi
academy of motion picture arts and sciences	academy of motion picture arts and science
academy of television arts and sciences	academy of television arts and science
acanthisitta chloris	acanthisitta chlori
acanthocereus	acanthocereu
acanthocereus pentagonus	acanthocereus pentagonu
acanthocereus tetragonus	acanthocereus tetragonu
acanthocytosis	acanthocytosi
acantholysis	acantholysi
acanthophis	acanthophi
acanthophis antarcticus	acanthophis antarcticu
acanthoscelides	acanthoscelide
acanthoscelides obtectus	acanthoscelides obtectu
acanthosis	acanthosi
acanthosis nigricans	acanthosis nigrican
acanthous	acanthou
acanthurus	acanthuru
acanthurus chirurgus	acanthurus chirurgu
acanthus	acanthu
acanthus mollis	acanthus molli
acariasis	acariasi
acaridiasis	acaridiasi
acariosis	acariosi
acarpellous	acarpellou
acarpelous	acarpelou
acarpous	acarpou
acarus	acaru
acathexis	acathexi
accelerated	accelerat
accented	accent
accenting	accent
acceptance sampling	acceptance sampl
accepted	accept
accepting	accept
accipiter gentilis	accipiter gentili
accipiter nisus	accipiter nisu
